"Data","Dzień","Wykryci zakażeni","Testy","Hospitalizowani","Zmarli","Kwarantanna","Nadzór","Testy, wartości przybliżone","Kwarantanna po powrocie do kraju","Wydarzenia","Wyzdrowiali"
"3/1/20",,,,,,,,,,,
"3/2/20",,,,,,,,,,,
"3/3/20",-1,0,559,68,,316,4459,,,,
"3/4/20",0,1,584,65,,349,4540,,,,
"3/5/20",1,1,676,92,,490,5647,,,,
"3/6/20",2,5,855,128,,1299,6184,,,,
"3/7/20",3,6,,146,,1548,6409,,,,
"3/8/20",4,11,1154,168,,932,7122,,,,
"3/9/20",5,17,1384,176,,1014,7110,,,,
"3/10/20",6,22,1630,220,,1055,9366,,,,
"3/11/20",7,31,2024,317,,1193,11524,,,,
"3/12/20",8,51,2234,384,,2736,14841,,,"Zamknięcie szkół i instytucji kulturalnych",
"3/13/20",9,68,2889,521,2,3151,17784,,,,
"3/14/20",10,103,4414,526,3,4413,20340,,,,
"3/15/20",11,125,5493,768,3,7535,25816,,,,
"3/16/20",12,177,,734,4,10050,30129,7500,,,
"3/17/20",13,238,7899,833,5,14531,35853,,22979,,
"3/18/20",14,287,9515,923,5,21993,40110,,35192,,
"3/19/20",15,355,11196,871,5,28440,48660,,48324,,
"3/20/20",16,425,13072,898,5,47115,53117,,62120,"Ogłoszenie stanu epidemii",
"3/21/20",17,536,15084,1047,5,54814,56623,,74106,,
"3/22/20",18,634,17607,1084,7,58836,48632,,80348,,
"3/23/20",19,749,20127,1138,8,55301,51142,,95445,,
"3/24/20",20,901,22898,1479,10,62511,53426,,104529,"Dalsze restrykcje (zgromadzenia max 2 os.)",
"3/25/20",21,1031,26244,1615,14,70528,56930,,138680,,
"3/26/20",22,1221,29564,1606,16,83908,59081,,150474,,
"3/27/20",23,1389,34067,1696,16,94297,58306,,161859,,
"3/28/20",24,1638,38674,1719,18,97413,56585,,167890,,
"3/29/20",25,1862,42783,1879,22,100215,52612,,169092,,
"3/30/20",26,2055,46607,1900,31,106525,52370,,163789,,
"3/31/20",27,2311,51419,1924,33,171994,50804,,,"Kolejne restrykcje (zakaz wychodzenia młodzieży, 2 m odstępu, zamknięcie salonów fryzjerskich etc.)",
"4/1/20",28,2554,55801,,43,,,,,,
"4/2/20",29,2946,61178,2317,57,183095,48039,,,,
"4/3/20",30,3383,66938,2158,71,174997,44491,,,,
"4/4/20",31,3627,72901,2303,79,160587,41146,,,,116
"4/5/20",32,4102,80757,2434,94,131888,38157,,,,134
"4/6/20",33,4413,85467,2444,107,143256,37295,,,,162
"4/7/20",34,4666,92215,2476,129,148130,36391,,,,191
"4/8/20",35,5205,99284,2425,159,153390,33273,,,,222
"4/9/20",36,5575,107597,2473,174,152898,33989,,,,284
"4/10/20",37,5955,118295,2409,181,158663,33879,,,,318
"4/11/20",38,6088,129560,2426,195,166973,31370,,,,375
"4/12/20",39,,,,,,,,,,
"4/13/20",40,,,,,,,,,,
"4/14/20",41,,,,,,,,,,
"4/15/20",42,,,,,,,,,,
"4/16/20",43,,,,,,,,,,
"4/17/20",44,,,,,,,,,,
"4/18/20",45,,,,,,,,,,
"4/19/20",46,,,,,,,,,,
"4/20/20",47,,,,,,,,,,
"4/21/20",48,,,,,,,,,,
"4/22/20",49,,,,,,,,,,
"4/23/20",50,,,,,,,,,,
"4/24/20",51,,,,,,,,,,
"4/25/20",52,,,,,,,,,,
"4/26/20",53,,,,,,,,,,
"4/27/20",54,,,,,,,,,,
"4/28/20",55,,,,,,,,,,
"4/29/20",56,,,,,,,,,,
"4/30/20",57,,,,,,,,,,
"5/1/20",58,,,,,,,,,,
