"Data","Dzień","Wykryci zakażeni","Testy","Hospitalizowani","Zmarli","Kwarantanna","Nadzór","Testy, wartości przybliżone","Kwarantanna po powrocie do kraju","Wydarzenia","Wyzdrowiali","Testowane osoby"
"03/01/20",,,,,,,,,,,,
"03/02/20",,,,,,,,,,,,
"03/03/20",-1,0,559,68,,316,4459,,,,,
"03/04/20",0,1,584,65,,349,4540,,,,,
"03/05/20",1,1,676,92,,490,5647,,,,,
"03/06/20",2,5,855,128,,1299,6184,,,,,
"03/07/20",3,6,,146,,1548,6409,,,,,
"03/08/20",4,11,1154,168,,932,7122,,,,,
"03/09/20",5,17,1384,176,,1014,7110,,,,,
"03/10/20",6,22,1630,220,,1055,9366,,,,,
"03/11/20",7,31,2024,317,,1193,11524,,,,,
"03/12/20",8,51,2234,384,,2736,14841,,,"Zamknięcie szkół i instytucji kulturalnych",,
"03/13/20",9,68,2889,521,2,3151,17784,,,,,
"03/14/20",10,103,4414,526,3,4413,20340,,,,,
"03/15/20",11,125,5493,768,3,7535,25816,,,,,
"03/16/20",12,177,,734,4,10050,30129,7500,,,,
"03/17/20",13,238,7899,833,5,14531,35853,,22979,,,
"03/18/20",14,287,9515,923,5,21993,40110,,35192,,,
"03/19/20",15,355,11196,871,5,28440,48660,,48324,,,
"03/20/20",16,425,13072,898,5,47115,53117,,62120,"Ogłoszenie stanu epidemii",,
"03/21/20",17,536,15084,1047,5,54814,56623,,74106,,,
"03/22/20",18,634,17607,1084,7,58836,48632,,80348,,,
"03/23/20",19,749,20127,1138,8,55301,51142,,95445,,,
"03/24/20",20,901,22898,1479,10,62511,53426,,104529,"Dalsze restrykcje (zgromadzenia max 2 os.)",,
"03/25/20",21,1031,26244,1615,14,70528,56930,,138680,,,
"03/26/20",22,1221,29564,1606,16,83908,59081,,150474,,,
"03/27/20",23,1389,34067,1696,16,94297,58306,,161859,,,
"03/28/20",24,1638,38674,1719,18,97413,56585,,167890,,,
"03/29/20",25,1862,42783,1879,22,100215,52612,,169092,,,
"03/30/20",26,2055,46607,1900,31,106525,52370,,163789,,,
"03/31/20",27,2311,51419,1924,33,171994,50804,,,"Kolejne restrykcje (zakaz wychodzenia młodzieży, 2 m odstępu, zamknięcie salonów fryzjerskich etc.)",,
"04/01/20",28,2554,55801,,43,,,,,,,
"04/02/20",29,2946,61178,2317,57,183095,48039,,,,,
"04/03/20",30,3383,66938,2158,71,174997,44491,,,,,
"04/04/20",31,3627,72901,2303,79,160587,41146,,,,116,
"04/05/20",32,4102,80757,2434,94,131888,38157,,,,134,
"04/06/20",33,4413,85467,2444,107,143256,37295,,,,162,
"04/07/20",34,4848,92215,2476,129,148130,36391,,,,191,
"04/08/20",35,5205,99284,2425,159,153390,33273,,,,222,
"04/09/20",36,5575,107597,2473,174,152898,33989,,,,284,
"04/10/20",37,5955,118295,2409,181,158663,33879,,,,318,
"04/11/20",38,6356,129560,2426,208,166973,31370,,,,375,
"04/12/20",39,6674,138007,2481,232,162974,30982,,,,439,
"04/13/20",40,6934,143630,2510,245,151548,29571,,,,487,
"04/14/20",41,7202,148321,2471,263,144875,28665,,,,618,
"04/15/20",42,7582,156493,2499,286,145875,28084,,,,668,
"04/16/20",43,7918,169071,2607,314,142220,25923,,,"Dalsze restrykcje (zasłanianie twarzy)",774,
"04/17/20",44,8379,179654,2673,332,138004,25773,,,,866,
"04/18/20",45,8742,192960,2725,347,118361,25273,,,,981,
"04/19/20",46,9287,204246,2482,360,124311,17436,,,,1040,
"04/20/20",47,9593,214236,2511,380,111079,17266,,,"Zniesienie części restrykcji (otwarcie parków i lasów, przemieszczanie rekreacyjne, sklepy i kościoły – więcej osób, swobodne przemieszczanie powyżej 13 roku życia)",1133,
"04/21/20",48,9856,224355,2914,401,105602,21364,,,,1297,
"04/22/20",49,10169,238799,3505,426,98020,22731,,,,1513,
"04/23/20",50,10511,250719,3099,454,103129,21781,,,,1740,
"04/24/20",51,10892,265201,3095,494,97905,20546,,,,1944,
"04/25/20",52,11273,278994,2821,524,87003,19653,,,,2126,
"04/26/20",53,11617,290633,2749,535,79656,19116,,,,2265,
"04/27/20",54,11902,297859,2759,562,78878,18693,,,,2466,
"04/28/20",55,12218,310744,2934,596,82643,18394,,,,2655,281787
"04/29/20",56,12640,324527,2973,624,85837,18016,,,,3025,294589
"04/30/20",57,12877,338027,3012,644,88265,18874,,,,3236,307098
"05/01/20",58,13105,354628,2789,651,92458,18433,,,,3491,322749
"05/02/20",59,13375,366013,2649,664,95625,18383,,,,3762,333362
"05/03/20",60,13693,375948,2761,678,96612,18306,,,,3945,342744
"05/04/20",61,14006,383804,2653,698,96699,17785,,,"Zniesienie części restrykcji (otwarte hotele, galerie handlowe, biblioteki)",4095,350048
"05/05/20",62,14431,394270,2738,716,100765,17291,,,,4280,359690
"05/06/20",63,,,,,,,,,,,
"05/07/20",64,,,,,,,,,,,
"05/08/20",65,,,,,,,,,,,
"05/09/20",66,,,,,,,,,,,
"05/10/20",67,,,,,,,,,,,
"05/11/20",68,,,,,,,,,,,
"05/12/20",69,,,,,,,,,,,
"05/13/20",70,,,,,,,,,,,
"05/14/20",71,,,,,,,,,,,
"05/15/20",72,,,,,,,,,,,
"05/16/20",73,,,,,,,,,,,
"05/17/20",74,,,,,,,,,,,
"05/18/20",75,,,,,,,,,,,
"05/19/20",76,,,,,,,,,,,
"05/20/20",77,,,,,,,,,,,
"05/21/20",78,,,,,,,,,,,
"05/22/20",79,,,,,,,,,,,
"05/23/20",80,,,,,,,,,,,
"05/24/20",81,,,,,,,,,,,
